NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
172742,42199,28.2362,12.6932,12.4057,12.1739,11.82,9.601,1947.14,132.5
149977,69349,39.2747,13.2179,12.8236,12.5452,11.93,9.604,2703.2,120
65954,33604,22.6945,12.8965,12.6046,12.3505,12.01,9.604,1566.6,130
136403,29009,44.7,13.6271,13.2866,12.9809,11.72,9.612,2552.88,127.5
133325,12471,41.9,14.0892,13.7322,13.4863,,9.615,1862,175
117685,38749,34.8,12.7435,12.4894,12.2946,,9.617,2253.91,132.5
159919,35376,37.5,12.8899,12.5729,12.3587,11.84,9.619,2634.03,110
146080,54816,26.7,12.1023,12.0541,11.9185,11.32,9.62,2196.97,115
41597,39068,36,12.9085,12.8265,12.4995,,9.62,2645.79,112.5
139899,35955,21.3413,13.041,12.696,12.4376,,9.623,1473.68,180
133120,11552,24.2,11.5348,11.2203,11.0254,11.6,9.626,2891.64,210
146087,54825,31.6802,12.9144,12.441,12.0724,11.7,9.627,2183.6,117.5
148275,61008,44.7584,12.6728,12.3544,12.1043,,9.627,3077.67,162.5
159593,34561,30.6,12.1615,11.8577,11.6819,11.73,9.629,2500.45,107.5
138332,32787,20.7,12.6239,12.3122,12.0775,,9.631,1419.56,132.5
135536,24926,26.0434,13.3476,12.8784,12.5338,11.77,9.635,1796.57,130
94340,49342,39,12.9099,12.5608,12.3404,12.18,9.638,2403.67,132.5
159215,33432,26.1,13.0334,12.7158,12.5185,14.31,9.642,1626.28,130
157495,28424,22,11.5089,11.7769,11.1544,,9.642,1803.43,127.5
144931,51312,44.8553,12.7668,12.3543,12.0623,,9.642,3084.28,107.5
161765,40715,30.6,12.6654,12.4209,12.2239,,9.646,2351.26,132.5
169795,36205,28.4,13.3173,12.9243,12.6164,12.34,9.648,1954.7,125
136622,29472,25.8,13.6165,13.2454,13.151,,9.65,1407.3,160
135527,24884,32.0028,12.4788,12.1253,11.8866,12.42,9.654,2205.67,142.5
135665,25525,37,15.1793,15.1562,15.1165,,9.659,2836.13,147.5
135667,25525,37,11.5167,11.4112,11.187,,9.659,2840.9,150
152614,141134,44.5346,15.5528,15.3326,15.2666,,9.661,3062.42,165
136035,27734,33.6,12.6049,12.2576,11.9259,,9.661,2216.66,135
158901,32605,33.7,12.0521,11.7282,11.5469,11.94,9.665,2759.48,157.5
133146,11648,20.0422,12.469,12.2222,12.0758,,9.665,1384.19,107.5
135591,25237,37.3,12.9692,12.7086,12.5543,11.4,9.675,2540.56,135
10691,25237,37.3,14.8801,14.8337,14.8191,11.4,9.675,2497.66,135
101649,35285,36,12.6522,12.2985,12.045,12.1,9.676,2555.15,117.5
164893,51332,32.3215,13.0433,12.6553,12.3836,12.21,9.676,2227.47,132.5
136037,3.35594e+06,32.0572,18.3907,18.0509,17.9649,17.38,9.678,2209.39,137.5
1604,42453,28.4428,13.02,12.6337,12.3707,11.92,9.681,1961.33,130
144045,49388,27,11.77,11.4628,11.2657,11.27,9.683,2653.73,115
35340,51471,30,12.5545,12.2299,11.9533,11.74,9.686,2712.52,112.5
112063,34415,20.7,12.152,11.794,11.4217,,9.688,929.018,200
142156,42946,35.751,13.0944,12.7349,12.4559,11.68,9.69,2462.12,160
159449,34107,26.9,13.2404,12.9544,12.6811,12.28,9.69,1608.08,130
35509,53089,21,12.2157,11.9346,11.7666,12.05,9.693,1984.2,122.5
158480,31198,29.5414,13.1297,12.7608,12.4946,,9.7,2036.77,147.5
157236,26648,25,12.369,12.0268,11.7099,12.35,9.703,2818.38,115
161308,39184,41.1547,13.0405,12.7358,12.554,12.26,9.707,2831.83,112.5
87608,37616,44.0528,13.1576,12.8102,12.518,12.31,9.711,3029.57,142.5
133807,15179,31,13.0534,12.8385,12.6471,,9.713,2372.53,180
133191,11793,38.2,12.9608,12.7724,12.6376,,9.716,2715.96,165
120018,45836,40.2,13.1185,12.8451,12.6401,12.08,9.719,2603.54,110
129309,5034,37.538,12.8082,12.4558,12.147,,9.723,2584.38,222.5
56434,49112,30.9,12.4523,12.1196,11.9076,11.86,9.727,2627.64,117.5
144923,51286,23.5,13.0147,12.7147,12.5107,11.57,9.733,1621.6,122.5
161174,38802,29.1,12.4703,12.1345,11.8679,11.95,9.734,2517.21,117.5
161911,41317,31.5,12.713,12.3863,12.1043,12.04,9.736,2477.37,135
143841,48749,30.9,12.5918,12.0914,11.9554,12.38,9.739,2560.74,117.5
152034,71868,35,13.4203,13.5021,13.2975,11.35,9.743,2663.56,160
19265,38788,24.7,12.9441,12.4901,12.1117,12.74,9.746,2791.57,110
144998,51431,25.2,12.6938,12.3417,12.0789,,9.749,2080.41,130
27983,47425,29.6,12.979,12.6367,12.4363,12.06,9.754,2099.39,117.5
90215,32434,25.7,12.466,12.5172,12.379,,9.758,1943.89,127.5
142287,43118,26.1,12.255,12.0095,11.817,11.47,9.758,2552.08,160
171451,3.79664e+06,21.1433,14.0195,13.9352,13.816,,9.764,1460.07,160
129407,5161,42.1397,13.1125,12.6473,12.3108,11.89,9.766,2899.16,175
161726,40564,29,11.9796,11.9867,11.7579,11.94,9.767,2204.18,132.5
109303,31311,26.4,13.175,12.9439,12.7798,11.95,9.773,1548.63,130
17113,28939,33.6,13.7808,13.3447,12.9112,12.77,9.773,2209.94,132.5
157026,25498,22.7,13.111,12.7273,12.4546,11.87,9.774,1781.78,162.5
148825,65775,20.8,12.7878,12.4902,12.2495,,9.778,1516.06,125
129813,5581,26.1306,13.6965,13.1869,12.7839,12.53,9.779,1802.56,137.5
67417,40566,23.4,14.3414,13.9594,13.658,12.43,9.779,1199.74,157.5
166521,56413,31,12.7526,12.4342,12.1598,,9.781,2406,127.5
134273,90034,25,13.0368,12.5992,12.2685,12.78,9.792,2221.7,145
146511,56475,29.8,13.7422,13.3433,13.0154,12.38,9.794,1673,107.5
135618,25399,37,13.5284,13.0942,12.7472,12.36,9.801,2623.69,142.5
135692,25690,37,13.0784,12.7864,12.4823,12.09,9.801,2914.44,147.5
155371,11403,32.4,12.8824,12.7277,12.6246,11.78,9.803,2585.42,245
